puzzle_num,puzzle_folder,difficulty,num_1x1_blockers,num_2x1_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,prompt_tokens,completion_tokens,total_tokens,has_reasoning,reasoning_length_chars,content_length_chars,timestamp
1,puzzle1,easy,5,0,4,4,True,True,206.15,939,4021,4960,True,10804,123,2025-08-26T10:45:42.175994
2,puzzle2,easy,4,0,5,5,True,True,129.45,927,2578,3505,True,6685,147,2025-08-26T10:47:52.625101
3,puzzle3,easy,4,0,2,2,True,True,133.08,928,2520,3448,True,7741,72,2025-08-26T10:50:06.701488
4,puzzle4,easy,4,0,1,1,True,True,195.46,929,3878,4807,True,12803,47,2025-08-26T10:53:23.158838
5,puzzle5,easy,4,0,6,7,False,True,927.35,928,6781,7709,True,17316,199,2025-08-26T11:08:51.506682
6,puzzle6,easy,4,0,4,5,False,True,237.86,930,4666,5596,True,12113,148,2025-08-26T11:12:50.366811
7,puzzle7,easy,4,0,5,5,True,True,123.84,928,2496,3424,True,7014,147,2025-08-26T11:14:55.208337
8,puzzle8,easy,4,0,4,6,False,True,144.89,926,2955,3881,True,7805,174,2025-08-26T11:17:21.097269
9,puzzle9,easy,4,0,3,3,True,True,109.99,928,2127,3055,True,5299,98,2025-08-26T11:19:12.089707
10,puzzle10,easy,4,0,6,7,False,True,432.16,928,8953,9881,True,22749,199,2025-08-26T11:26:25.250286
11,puzzle11,easy,4,0,3,3,True,True,117.15,929,2358,3287,True,6810,97,2025-08-26T11:28:23.405542
12,puzzle12,easy,3,1,2,2,True,True,190.65,932,3924,4856,True,11909,72,2025-08-26T11:31:35.051200
13,puzzle13,easy,4,0,4,4,True,True,183.0,927,3762,4689,True,11329,122,2025-08-26T11:34:39.048521
14,puzzle14,easy,3,1,5,5,True,True,203.38,932,4225,5157,True,11471,149,2025-08-26T11:38:03.424437
15,puzzle15,easy,3,1,1,1,True,True,107.42,933,2156,3089,True,6736,47,2025-08-26T11:39:51.845687
16,puzzle16,easy,5,0,1,1,True,True,68.63,939,1284,2223,True,4017,47,2025-08-26T11:41:01.516484
17,puzzle17,easy,3,1,1,1,True,True,117.61,931,2444,3375,True,7751,47,2025-08-26T11:43:00.130216
18,puzzle18,easy,5,0,2,2,True,True,101.02,940,2107,3047,True,6703,72,2025-08-26T11:44:42.151749
19,puzzle19,easy,4,0,5,5,True,True,238.11,928,5102,6030,True,10292,148,2025-08-26T11:48:41.259677
20,puzzle20,easy,4,0,2,2,True,True,166.63,929,3579,4508,True,11110,72,2025-08-26T11:51:28.894796
