puzzle_num,puzzle_folder,difficulty,num_2x1_blockers,num_3x1_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,timestamp
1,puzzle1,easy,3,1,6,7,False,True,48.98,2025-08-27T17:23:59.516882
2,puzzle2,easy,4,0,2,2,True,True,14.87,2025-08-27T17:24:15.386084
3,puzzle3,easy,4,0,1,1,True,True,18.25,2025-08-27T17:24:34.637484
4,puzzle4,easy,2,2,11,9,False,True,228.25,2025-08-27T17:28:23.887783
5,puzzle5,easy,3,1,6,13,False,True,203.11,2025-08-27T17:31:48.000490
6,puzzle6,easy,2,2,9,11,False,True,144.85,2025-08-27T17:34:13.846544
7,puzzle7,easy,2,2,12,13,False,True,247.2,2025-08-27T17:38:22.044632
8,puzzle8,easy,4,0,5,9,False,True,186.43,2025-08-27T17:41:29.473384
9,puzzle9,easy,4,0,3,3,True,True,22.0,2025-08-27T17:41:52.471781
10,puzzle10,easy,4,0,5,6,False,True,33.66,2025-08-27T17:42:27.129417
11,puzzle11,easy,4,0,3,3,True,True,18.31,2025-08-27T17:42:46.438897
12,puzzle12,easy,3,1,12,3,False,True,180.35,2025-08-27T17:45:47.791518
13,puzzle13,easy,4,0,4,8,False,True,43.23,2025-08-27T17:46:32.027133
14,puzzle14,easy,4,0,2,3,False,True,26.03,2025-08-27T17:46:59.058882
15,puzzle15,easy,4,0,6,7,False,True,49.07,2025-08-27T17:47:49.133312
16,puzzle16,easy,4,0,5,9,False,True,59.91,2025-08-27T17:48:50.045468
17,puzzle17,easy,3,1,2,2,True,True,25.78,2025-08-27T17:49:16.829317
18,puzzle18,easy,4,0,3,3,True,True,23.23,2025-08-27T17:49:41.058199
19,puzzle19,easy,3,1,5,5,True,True,39.14,2025-08-27T17:50:21.201177
20,puzzle20,easy,3,1,4,4,True,True,21.94,2025-08-27T17:50:44.142260
21,puzzle21,easy,2,2,6,8,False,True,60.84,2025-08-27T17:51:45.986979
22,puzzle22,easy,2,2,9,8,False,True,134.27,2025-08-27T17:54:01.259468
23,puzzle23,easy,4,0,8,10,False,True,59.42,2025-08-27T17:55:01.676246
24,puzzle24,easy,2,2,7,9,False,True,56.35,2025-08-27T17:55:59.021748
25,puzzle25,easy,2,2,11,10,False,True,170.09,2025-08-27T17:58:50.112250
26,puzzle26,easy,3,1,2,2,True,True,16.13,2025-08-27T17:59:07.240950
27,puzzle27,easy,3,1,4,6,False,True,37.5,2025-08-27T17:59:45.737428
28,puzzle28,easy,2,2,15,8,False,True,239.03,2025-08-27T18:03:45.767053
29,puzzle29,easy,3,1,5,5,True,True,37.3,2025-08-27T18:04:24.065342
30,puzzle30,easy,2,2,3,3,True,True,30.48,2025-08-27T18:04:55.549451
31,puzzle31,easy,2,2,4,5,False,True,47.18,2025-08-27T18:05:43.734671
32,puzzle32,easy,4,0,4,6,False,True,19.58,2025-08-27T18:06:04.316164
33,puzzle33,easy,2,2,7,13,False,True,52.97,2025-08-27T18:06:58.282167
34,puzzle34,easy,4,0,2,2,True,True,18.25,2025-08-27T18:07:17.533769
35,puzzle35,easy,4,0,6,11,False,True,51.43,2025-08-27T18:08:09.964622
36,puzzle36,easy,2,2,5,15,False,True,225.71,2025-08-27T18:11:56.675548
37,puzzle37,easy,4,0,2,2,True,True,16.82,2025-08-27T18:12:14.492592
38,puzzle38,easy,4,0,5,6,False,True,54.29,2025-08-27T18:13:09.780174
39,puzzle39,easy,3,1,2,2,True,True,15.59,2025-08-27T18:13:26.367837
40,puzzle40,easy,4,0,2,2,True,True,14.09,2025-08-27T18:13:41.459064
41,puzzle41,easy,4,0,1,1,True,True,25.07,2025-08-27T18:14:07.534356
42,puzzle42,easy,2,2,5,13,False,True,248.85,2025-08-27T18:18:17.380094
43,puzzle43,easy,4,0,5,10,False,True,48.63,2025-08-27T18:19:07.006262
44,puzzle44,easy,4,0,1,1,True,True,18.78,2025-08-27T18:19:26.790827
45,puzzle45,easy,4,0,7,10,False,True,37.39,2025-08-27T18:20:05.185441
46,puzzle46,easy,2,2,10,9,False,True,190.07,2025-08-27T18:23:16.257128
47,puzzle47,easy,4,0,6,10,False,True,67.3,2025-08-27T18:24:24.554909
48,puzzle48,easy,4,0,3,3,True,True,18.97,2025-08-27T18:24:44.522282
49,puzzle49,easy,3,1,3,5,False,True,20.3,2025-08-27T18:25:05.825987
50,puzzle50,easy,2,2,4,6,False,True,27.16,2025-08-27T18:25:33.981613
51,puzzle51,medium,5,1,5,5,True,True,38.01,2025-08-27T18:26:12.993391
52,puzzle52,medium,5,1,4,4,True,True,27.31,2025-08-27T18:26:41.303661
53,puzzle53,medium,3,3,3,3,True,True,109.95,2025-08-27T18:28:32.257128
54,puzzle54,medium,5,1,3,3,True,True,16.1,2025-08-27T18:28:49.354918
55,puzzle55,medium,3,3,3,3,True,True,24.81,2025-08-27T18:29:15.163110
56,puzzle56,medium,3,3,13,9,False,True,227.78,2025-08-27T18:33:03.943578
57,puzzle57,medium,4,2,6,6,True,True,52.94,2025-08-27T18:33:57.882204
58,puzzle58,medium,5,1,9,17,False,True,208.08,2025-08-27T18:37:26.963204
59,puzzle59,medium,5,1,7,7,True,True,118.42,2025-08-27T18:39:26.379595
60,puzzle60,medium,5,1,8,9,False,True,169.2,2025-08-27T18:42:16.576209
61,puzzle61,medium,4,2,13,13,True,True,171.74,2025-08-27T18:45:09.318837
62,puzzle62,medium,4,2,8,18,False,True,210.34,2025-08-27T18:48:40.657014
63,puzzle63,medium,4,2,14,13,False,True,146.78,2025-08-27T18:51:08.434936
64,puzzle64,medium,3,3,17,18,False,True,211.82,2025-08-27T18:54:41.251436
65,puzzle65,medium,4,2,4,9,False,True,184.11,2025-08-27T18:57:46.364265
66,puzzle66,medium,5,1,11,16,False,True,208.83,2025-08-27T19:01:16.190174
67,puzzle67,medium,4,2,8,13,False,True,68.42,2025-08-27T19:02:25.609908
68,puzzle68,medium,4,2,12,11,False,True,192.64,2025-08-27T19:05:39.245326
69,puzzle69,medium,5,1,5,10,False,True,201.65,2025-08-27T19:09:01.899132
70,puzzle70,medium,4,2,7,7,True,True,120.73,2025-08-27T19:11:03.631416
71,puzzle71,medium,3,3,2,4,False,True,21.23,2025-08-27T19:11:25.863173
72,puzzle72,medium,3,3,11,17,False,True,167.66,2025-08-27T19:14:14.525488
73,puzzle73,medium,3,3,13,15,False,True,186.51,2025-08-27T19:17:22.037768
74,puzzle74,medium,5,1,7,7,True,True,86.33,2025-08-27T19:18:49.365044
75,puzzle75,medium,4,2,10,9,False,True,43.27,2025-08-27T19:19:33.633773
76,puzzle76,medium,4,2,7,7,True,True,62.18,2025-08-27T19:20:36.811540
77,puzzle77,medium,3,3,17,18,False,True,242.92,2025-08-27T19:24:40.736484
78,puzzle78,medium,5,1,8,16,False,True,241.36,2025-08-27T19:28:43.100965
79,puzzle79,medium,5,1,4,4,True,True,34.87,2025-08-27T19:29:18.974719
80,puzzle80,medium,4,2,1,1,True,True,15.9,2025-08-27T19:29:35.872114
81,puzzle81,medium,5,1,4,4,True,True,25.48,2025-08-27T19:30:02.377845
82,puzzle82,medium,3,3,5,5,True,True,66.2,2025-08-27T19:31:09.574846
83,puzzle83,medium,5,1,6,6,True,True,31.26,2025-08-27T19:31:41.830869
84,puzzle84,medium,5,1,7,12,False,True,196.64,2025-08-27T19:34:59.473139
