puzzle_num,puzzle_folder,difficulty,num_2x1_blockers,num_3x1_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,input_tokens,reasoning_tokens,output_tokens,total_tokens,has_reasoning,reasoning_length_chars,timestamp
1,puzzle1,easy,3,1,6,6,True,True,42.6,1143,0,3550,4693,False,0,2025-08-26T17:47:01.335736
2,puzzle2,easy,4,0,2,2,True,True,11.8,1143,0,892,2035,False,0,2025-08-26T17:47:14.137313
3,puzzle3,easy,4,0,1,1,True,True,9.49,1141,0,804,1945,False,0,2025-08-26T17:47:24.624235
4,puzzle4,easy,2,2,11,17,False,True,159.5,1150,0,10325,11475,False,0,2025-08-26T17:50:05.127449
5,puzzle5,easy,3,1,6,6,True,True,36.69,1145,0,2205,3350,False,0,2025-08-26T17:50:42.822515
6,puzzle6,easy,2,2,9,10,False,True,199.3,1150,0,15449,16599,False,0,2025-08-26T17:54:03.126160
7,puzzle7,easy,2,2,12,19,False,True,1129.42,1150,0,35345,36495,False,0,2025-08-26T18:12:53.541906
8,puzzle8,easy,4,0,5,7,False,True,102.14,1143,0,6904,8047,False,0,2025-08-26T18:14:36.678351
9,puzzle9,easy,4,0,3,3,True,True,16.92,1142,0,1493,2635,False,0,2025-08-26T18:14:54.599518
10,puzzle10,easy,4,0,5,5,True,True,25.42,1141,0,1861,3002,False,0,2025-08-26T18:15:21.015056
11,puzzle11,easy,4,0,3,3,True,True,10.78,1141,0,852,1993,False,0,2025-08-26T18:15:32.792232
12,puzzle12,easy,3,1,12,0,False,False,460.91,1144,0,24610,25754,False,0,2025-08-26T18:23:14.704482
13,puzzle13,easy,4,0,4,4,True,True,16.06,1143,0,1453,2596,False,0,2025-08-26T18:23:31.762421
14,puzzle14,easy,4,0,2,2,True,True,25.08,1143,0,1917,3060,False,0,2025-08-26T18:23:57.847593
15,puzzle15,easy,4,0,6,7,False,True,159.32,1142,0,9463,10605,False,0,2025-08-26T18:26:38.167609
16,puzzle16,easy,4,0,5,5,True,True,32.08,1143,0,3077,4220,False,0,2025-08-26T18:27:11.247754
17,puzzle17,easy,3,1,2,2,True,True,14.66,1143,0,1020,2163,False,0,2025-08-26T18:27:26.909076
18,puzzle18,easy,4,0,3,3,True,True,16.21,1141,0,980,2121,False,0,2025-08-26T18:27:44.114858
19,puzzle19,easy,3,1,5,7,False,True,57.37,1142,0,4279,5421,False,0,2025-08-26T18:28:42.486666
20,puzzle20,easy,3,1,4,5,False,True,39.86,1142,0,3982,5124,False,0,2025-08-26T18:29:23.368104
21,puzzle21,easy,2,2,6,6,True,True,64.1,1152,0,4766,5918,False,0,2025-08-26T18:30:28.464313
