puzzle_num,puzzle_folder,difficulty,num_2x1_blockers,num_3x1_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,prompt_tokens,completion_tokens,total_tokens,has_reasoning,reasoning_length_chars,content_length_chars,timestamp
1,puzzle1,easy,3,1,6,7,False,True,357.86,1160,7345,8505,True,18706,312,2025-08-28T00:00:45.822842
2,puzzle2,easy,4,0,2,2,True,True,130.73,1157,2576,3733,True,8432,104,2025-08-28T00:02:57.557337
3,puzzle3,easy,4,0,1,1,True,True,200.35,1158,4164,5322,True,13479,63,2025-08-28T00:06:18.905633
4,puzzle4,easy,2,2,11,16,False,True,896.85,1165,18277,19442,True,48253,741,2025-08-28T00:21:16.753304
5,puzzle5,easy,3,1,6,6,True,True,241.72,1160,4805,5965,True,13078,269,2025-08-28T00:25:19.473183
6,puzzle6,easy,2,2,9,10,False,True,1298.34,1166,26483,27649,True,66454,869,2025-08-28T00:46:58.809770
7,puzzle7,easy,2,2,12,13,False,True,1308.6,1165,26676,27841,True,70753,614,2025-08-28T01:08:48.413508
8,puzzle8,easy,4,0,5,0,False,False,1146.14,1156,22659,23815,True,60778,557,2025-08-28T01:27:55.549588
9,puzzle9,easy,4,0,3,3,True,True,161.61,1157,3193,4350,True,9031,146,2025-08-28T01:30:38.160808
10,puzzle10,easy,4,0,5,6,False,True,257.57,1157,5163,6320,True,13969,270,2025-08-28T01:34:56.729672
11,puzzle11,easy,4,0,3,3,True,True,98.53,1157,1913,3070,True,4520,145,2025-08-28T01:36:36.263258
12,puzzle12,easy,3,1,12,0,False,False,2166.35,1159,17429,18588,True,48910,470,2025-08-28T02:12:43.616282
13,puzzle13,easy,4,0,4,4,True,True,163.07,1157,3372,4529,True,9051,187,2025-08-28T02:15:27.683425
14,puzzle14,easy,4,0,2,2,True,True,192.36,1157,3932,5089,True,12588,105,2025-08-28T02:18:41.047467
15,puzzle15,easy,4,0,6,7,False,True,380.13,1158,7593,8751,True,20012,312,2025-08-28T02:25:02.174416
16,puzzle16,easy,4,0,5,5,True,True,172.41,1159,3543,4702,True,8969,228,2025-08-28T02:27:55.584145
17,puzzle17,easy,3,1,2,2,True,True,95.92,1160,1881,3041,True,5533,104,2025-08-28T02:29:32.501288
18,puzzle18,easy,4,0,3,3,True,True,150.55,1160,2932,4092,True,8654,145,2025-08-28T02:32:04.047452
19,puzzle19,easy,3,1,5,5,True,True,237.22,1159,5004,6163,True,15219,228,2025-08-28T02:36:02.263252
20,puzzle20,easy,3,1,4,5,False,True,323.55,1160,6757,7917,True,17073,241,2025-08-28T02:41:26.810635
21,puzzle21,easy,2,2,6,7,False,True,339.91,1166,7024,8190,True,18554,312,2025-08-28T02:47:07.717152
22,puzzle22,easy,2,2,9,0,False,False,1531.32,1165,32000,33165,True,77098,0,2025-08-28T03:12:40.041599
23,puzzle23,easy,4,0,8,8,True,True,295.17,1159,6217,7376,True,17013,353,2025-08-28T03:17:36.214203
24,puzzle24,easy,2,2,7,8,False,True,521.87,1167,11288,12455,True,29229,353,2025-08-28T03:26:19.085941
25,puzzle25,easy,2,2,11,6,False,True,717.63,1165,15109,16274,True,42655,638,2025-08-28T03:38:17.716349
26,puzzle26,easy,3,1,2,2,True,True,164.59,1160,3489,4649,True,10240,105,2025-08-28T03:41:03.306310
27,puzzle27,easy,3,1,4,6,False,True,555.22,1158,11690,12848,True,34296,284,2025-08-28T03:50:19.523707
28,puzzle28,easy,2,2,15,0,False,False,1520.7,1165,31999,33164,True,79113,0,2025-08-28T04:15:41.227387
29,puzzle29,easy,3,1,5,5,True,True,236.13,1161,4861,6022,True,12021,242,2025-08-28T04:19:38.359661
30,puzzle30,easy,2,2,3,3,True,True,159.46,1164,3240,4404,True,8599,158,2025-08-28T04:22:18.818476
31,puzzle31,easy,2,2,4,4,True,True,787.81,1165,16400,17565,True,44312,188,2025-08-28T04:35:27.627139
