puzzle_id,folder_name,base_puzzle,difficulty,num_1x1_blockers,num_2x1_blockers,solution_length,exit_position
1,puzzle1,1,easy,5,0,4,"[2,4]"
2,puzzle2,2,easy,4,0,5,"[2,4]"
3,puzzle3,3,easy,4,0,2,"[2,4]"
4,puzzle4,4,easy,4,0,1,"[2,4]"
5,puzzle5,5,easy,4,0,6,"[2,4]"
6,puzzle6,6,easy,4,0,4,"[2,4]"
7,puzzle7,7,easy,4,0,5,"[2,4]"
8,puzzle8,8,easy,4,0,4,"[2,4]"
9,puzzle9,9,easy,4,0,3,"[2,4]"
10,puzzle10,10,easy,4,0,6,"[2,4]"
11,puzzle11,11,easy,4,0,3,"[2,4]"
12,puzzle12,12,easy,3,1,2,"[2,4]"
13,puzzle13,13,easy,4,0,4,"[2,4]"
14,puzzle14,14,easy,3,1,5,"[2,4]"
15,puzzle15,15,easy,3,1,1,"[2,4]"
16,puzzle16,16,easy,5,0,1,"[2,4]"
17,puzzle17,17,easy,3,1,1,"[2,4]"
18,puzzle18,18,easy,5,0,2,"[2,4]"
19,puzzle19,19,easy,4,0,5,"[2,4]"
20,puzzle20,20,easy,4,0,2,"[2,4]"
21,puzzle21,21,easy,5,0,5,"[2,4]"
22,puzzle22,22,easy,4,0,1,"[2,4]"
23,puzzle23,23,easy,5,0,5,"[2,4]"
24,puzzle24,24,easy,4,0,4,"[2,4]"
25,puzzle25,25,easy,4,0,2,"[2,4]"
26,puzzle26,26,easy,3,1,3,"[2,4]"
27,puzzle27,27,easy,5,0,3,"[2,4]"
28,puzzle28,28,easy,5,0,2,"[2,4]"
29,puzzle29,29,easy,4,0,4,"[2,4]"
30,puzzle30,30,easy,5,0,3,"[2,4]"
31,puzzle31,31,easy,4,0,3,"[2,4]"
32,puzzle32,32,easy,5,0,2,"[2,4]"
33,puzzle33,33,easy,5,0,2,"[2,4]"
34,puzzle34,34,easy,4,0,2,"[2,4]"
35,puzzle35,35,easy,4,0,4,"[2,4]"
36,puzzle36,36,easy,5,0,4,"[2,4]"
37,puzzle37,37,easy,4,0,2,"[2,4]"
38,puzzle38,38,easy,5,0,4,"[2,4]"
39,puzzle39,39,easy,5,0,5,"[2,4]"
40,puzzle40,40,easy,5,0,5,"[2,4]"
41,puzzle41,41,easy,4,0,2,"[2,4]"
42,puzzle42,42,easy,4,0,3,"[2,4]"
43,puzzle43,43,easy,4,0,2,"[2,4]"
44,puzzle44,44,easy,5,0,1,"[2,4]"
45,puzzle45,45,easy,4,0,6,"[2,4]"
46,puzzle46,46,easy,4,0,6,"[2,4]"
47,puzzle47,47,easy,4,0,5,"[2,4]"
48,puzzle48,48,easy,3,1,4,"[2,4]"
49,puzzle49,49,easy,4,0,1,"[2,4]"
50,puzzle50,50,easy,4,0,1,"[2,4]"
51,puzzle51,51,medium,4,1,3,"[2,4]"
52,puzzle52,52,medium,2,2,6,"[2,4]"
53,puzzle53,53,medium,4,1,3,"[2,4]"
54,puzzle54,54,medium,4,1,3,"[2,4]"
55,puzzle55,55,medium,3,2,1,"[2,4]"
56,puzzle56,56,medium,4,1,3,"[2,4]"
57,puzzle57,57,medium,2,2,1,"[2,4]"
58,puzzle58,58,medium,2,2,2,"[2,4]"
59,puzzle59,59,medium,1,2,2,"[2,4]"
60,puzzle60,60,medium,2,2,5,"[2,4]"
61,puzzle61,61,medium,1,2,3,"[2,4]"
62,puzzle62,62,medium,3,2,5,"[2,4]"
63,puzzle63,63,medium,2,2,2,"[2,4]"
64,puzzle64,64,medium,3,2,1,"[2,4]"
65,puzzle65,65,medium,2,2,6,"[2,4]"
66,puzzle66,66,medium,2,2,4,"[2,4]"
67,puzzle67,67,medium,3,2,1,"[2,4]"
68,puzzle68,68,medium,3,2,2,"[2,4]"
69,puzzle69,69,medium,3,2,2,"[2,4]"
70,puzzle70,70,medium,3,2,6,"[2,4]"
71,puzzle71,71,medium,3,2,1,"[2,4]"
72,puzzle72,72,medium,1,2,2,"[2,4]"
73,puzzle73,73,medium,1,2,2,"[2,4]"
74,puzzle74,74,medium,1,2,7,"[2,4]"
75,puzzle75,75,medium,3,2,4,"[2,4]"
76,puzzle76,76,medium,1,2,1,"[2,4]"
77,puzzle77,77,medium,4,1,4,"[2,4]"
78,puzzle78,78,medium,4,1,1,"[2,4]"
79,puzzle79,79,medium,1,2,3,"[2,4]"
80,puzzle80,80,medium,1,2,5,"[2,4]"
81,puzzle81,81,medium,1,2,3,"[2,4]"
82,puzzle82,82,medium,3,2,5,"[2,4]"
83,puzzle83,83,medium,4,1,2,"[2,4]"
84,puzzle84,84,medium,3,2,7,"[2,4]"
85,puzzle85,85,medium,3,2,5,"[2,4]"
86,puzzle86,86,medium,4,1,4,"[2,4]"
87,puzzle87,87,medium,4,1,2,"[2,4]"
88,puzzle88,88,medium,1,2,2,"[2,4]"
89,puzzle89,89,medium,3,2,1,"[2,4]"
90,puzzle90,90,medium,4,1,1,"[2,4]"
91,puzzle91,91,medium,4,1,5,"[2,4]"
92,puzzle92,92,medium,3,2,6,"[2,4]"
93,puzzle93,93,medium,4,1,5,"[2,4]"
94,puzzle94,94,medium,4,1,2,"[2,4]"
95,puzzle95,95,medium,3,2,8,"[2,4]"
96,puzzle96,96,medium,4,1,3,"[2,4]"
97,puzzle97,97,medium,1,2,1,"[2,4]"
98,puzzle98,98,medium,3,2,3,"[2,4]"
99,puzzle99,99,medium,3,2,6,"[2,4]"
100,puzzle100,100,medium,1,2,3,"[2,4]"
101,puzzle101,101,hard,0,3,6,"[2,4]"
102,puzzle102,102,hard,2,3,5,"[2,4]"
103,puzzle103,103,hard,0,4,3,"[2,4]"
104,puzzle104,104,hard,0,4,7,"[2,4]"
105,puzzle105,105,hard,2,3,8,"[2,4]"
106,puzzle106,106,hard,0,3,6,"[2,4]"
107,puzzle107,107,hard,1,3,4,"[2,4]"
108,puzzle108,108,hard,2,3,9,"[2,4]"
109,puzzle109,109,hard,2,3,3,"[2,4]"
110,puzzle110,110,hard,1,3,3,"[2,4]"
111,puzzle111,111,hard,2,3,4,"[2,4]"
112,puzzle112,112,hard,0,3,2,"[2,4]"
113,puzzle113,113,hard,2,3,7,"[2,4]"
114,puzzle114,114,hard,1,3,5,"[2,4]"
115,puzzle115,115,hard,0,4,6,"[2,4]"
116,puzzle116,116,hard,0,4,4,"[2,4]"
117,puzzle117,117,hard,0,4,4,"[2,4]"
118,puzzle118,118,hard,2,3,4,"[2,4]"
119,puzzle119,119,hard,2,3,4,"[2,4]"
120,puzzle120,120,hard,0,3,1,"[2,4]"
121,puzzle121,121,hard,0,4,4,"[2,4]"
122,puzzle122,122,hard,2,3,9,"[2,4]"
123,puzzle123,123,hard,1,3,4,"[2,4]"
124,puzzle124,124,hard,0,4,1,"[2,4]"
125,puzzle125,125,hard,1,3,1,"[2,4]"
