puzzle_num,puzzle_folder,difficulty,num_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,timestamp
1,puzzle1,easy,2,4,5,False,True,3.57,2025-08-21T09:04:01.329261
2,puzzle2,easy,2,1,6,False,True,3.19,2025-08-21T09:04:04.521994
3,puzzle3,easy,2,2,3,False,True,1.72,2025-08-21T09:04:06.241675
4,puzzle4,easy,2,3,4,False,True,2.21,2025-08-21T09:04:08.448640
5,puzzle5,easy,2,2,3,False,True,1.71,2025-08-21T09:04:10.162873
6,puzzle6,easy,3,1,6,False,True,3.19,2025-08-21T09:04:13.353416
7,puzzle7,easy,3,3,5,False,True,2.7,2025-08-21T09:04:16.049623
8,puzzle8,easy,3,3,4,False,True,2.22,2025-08-21T09:04:18.266228
9,puzzle9,easy,3,4,6,False,True,3.19,2025-08-21T09:04:21.460464
10,puzzle10,easy,3,2,8,False,True,4.17,2025-08-21T09:04:25.627369
11,puzzle11,easy,3,4,5,False,True,2.68,2025-08-21T09:04:28.308721
12,puzzle12,easy,2,3,3,True,True,1.71,2025-08-21T09:04:30.021427
13,puzzle13,easy,2,2,8,False,True,4.16,2025-08-21T09:04:34.183092
14,puzzle14,easy,3,3,6,False,True,3.23,2025-08-21T09:04:37.410411
15,puzzle15,easy,2,1,6,False,True,3.2,2025-08-21T09:04:40.612798
16,puzzle16,easy,2,3,3,True,True,1.71,2025-08-21T09:04:42.325070
17,puzzle17,easy,3,1,2,False,True,1.24,2025-08-21T09:04:43.570304
18,puzzle18,easy,2,2,3,False,True,1.71,2025-08-21T09:04:45.285839
19,puzzle19,easy,3,2,9,False,True,4.67,2025-08-21T09:04:49.954295
20,puzzle20,easy,3,3,3,True,True,1.72,2025-08-21T09:04:51.672219
21,puzzle21,easy,3,2,7,False,True,3.66,2025-08-21T09:04:55.337208
22,puzzle22,easy,3,2,8,False,True,4.19,2025-08-21T09:04:59.525054
23,puzzle23,easy,2,1,2,False,True,1.25,2025-08-21T09:05:00.773011
24,puzzle24,easy,2,2,8,False,True,4.17,2025-08-21T09:05:04.938626
25,puzzle25,easy,3,2,6,False,True,3.2,2025-08-21T09:05:08.134865
26,puzzle26,easy,2,1,6,False,True,3.18,2025-08-21T09:05:11.318369
27,puzzle27,easy,3,1,7,False,True,3.69,2025-08-21T09:05:15.006964
28,puzzle28,easy,3,3,3,True,True,1.72,2025-08-21T09:05:16.724186
29,puzzle29,easy,2,3,5,False,True,2.7,2025-08-21T09:05:19.425004
30,puzzle30,easy,2,3,5,False,True,2.69,2025-08-21T09:05:22.114520
31,puzzle31,easy,2,2,3,False,True,1.71,2025-08-21T09:05:23.828578
32,puzzle32,easy,3,2,6,False,True,3.16,2025-08-21T09:05:26.988204
33,puzzle33,easy,3,2,6,False,True,3.19,2025-08-21T09:05:30.178454
34,puzzle34,easy,3,3,3,True,True,1.72,2025-08-21T09:05:31.904019
35,puzzle35,easy,3,4,9,False,True,4.64,2025-08-21T09:05:36.543329
36,puzzle36,easy,2,3,3,True,True,1.72,2025-08-21T09:05:38.266546
37,puzzle37,easy,3,4,5,False,True,2.69,2025-08-21T09:05:40.959205
38,puzzle38,easy,2,2,5,False,True,2.7,2025-08-21T09:05:43.661007
39,puzzle39,easy,2,3,6,False,True,3.2,2025-08-21T09:05:46.866023
